pid,name,season,team,fol,tpa
4,Mahmoud Abdul-Rauf,2000-01,Memphis Grizzlies,4,8
5,Tariq Abdul-Wahad,1998-99,Sacramento Kings,7,17
5,Tariq Abdul-Wahad,1999-00,Denver Nuggets,2,1
5,Tariq Abdul-Wahad,1999-00,Orlando Magic,1,14
5,Tariq Abdul-Wahad,2000-01,Denver Nuggets,0,7
5,Tariq Abdul-Wahad,2001-02,Denver Nuggets,0,2
5,Tariq Abdul-Wahad,2002-03,Dallas Mavericks,0,2
6,Shareef Abdur-Rahim,1998-99,Memphis Grizzlies,3,12
6,Shareef Abdur-Rahim,1999-00,Memphis Grizzlies,1,56
6,Shareef Abdur-Rahim,2000-01,Memphis Grizzlies,2,38
6,Shareef Abdur-Rahim,2001-02,Atlanta Hawks,2,47
6,Shareef Abdur-Rahim,2002-03,Atlanta Hawks,1,36
6,Shareef Abdur-Rahim,2003-04,Atlanta Hawks,1,18
6,Shareef Abdur-Rahim,2003-04,Portland Trail Blazers,1,8
6,Shareef Abdur-Rahim,2004-05,Portland Trail Blazers,1,32
6,Shareef Abdur-Rahim,2005-06,Sacramento Kings,2,16
6,Shareef Abdur-Rahim,2006-07,Sacramento Kings,1,17
10,Alex Abrines,2016-17,Oklahoma City Thunder,5,190
10,Alex Abrines,2017-18,Oklahoma City Thunder,1,139
10,Alex Abrines,2018-19,Oklahoma City Thunder,0,83
11,Alex Acker,2008-09,Los Angeles Clippers,1,10
11,Alex Acker,2008-09,Detroit Pistons,0,4
15,Quincy Acy,2012-13,Toronto Raptors,0,1
15,Quincy Acy,2013-14,Sacramento Kings,1,8
15,Quincy Acy,2013-14,Toronto Raptors,0,4
15,Quincy Acy,2014-15,New York Knicks,0,38
15,Quincy Acy,2015-16,Sacramento Kings,0,40
15,Quincy Acy,2016-17,Dallas Mavericks,0,7
15,Quincy Acy,2016-17,Brooklyn Nets,0,64
15,Quincy Acy,2017-18,Brooklyn Nets,0,202
15,Quincy Acy,2018-19,Phoenix Suns,0,6
18,Hassan Adams,2006-07,Brooklyn Nets,0,1
19,Jaylen Adams,2018-19,Atlanta Hawks,0,49
20,Jordan Adams,2014-15,Memphis Grizzlies,0,16
20,Jordan Adams,2015-16,Memphis Grizzlies,0,1
24,Bam Adebayo,2017-18,Miami Heat,0,1
24,Bam Adebayo,2018-19,Miami Heat,0,9
25,Deng Adel,2018-19,Cleveland Cavaliers,0,10
27,Jeff Adrien,2012-13,Charlotte Hornets,0,1
28,Arron Afflalo,2007-08,Detroit Pistons,2,27
28,Arron Afflalo,2008-09,Detroit Pistons,1,72
28,Arron Afflalo,2009-10,Denver Nuggets,10,186
28,Arron Afflalo,2010-11,Denver Nuggets,2,174
28,Arron Afflalo,2011-12,Denver Nuggets,9,183
28,Arron Afflalo,2012-13,Orlando Magic,7,186
28,Arron Afflalo,2013-14,Orlando Magic,7,239
28,Arron Afflalo,2014-15,Denver Nuggets,3,176
28,Arron Afflalo,2014-15,Portland Trail Blazers,2,62
28,Arron Afflalo,2015-16,New York Knicks,6,160
28,Arron Afflalo,2016-17,Sacramento Kings,7,105
28,Arron Afflalo,2017-18,Orlando Magic,2,46
29,Maurice Ager,2006-07,Dallas Mavericks,0,15
29,Maurice Ager,2007-08,Dallas Mavericks,0,7
29,Maurice Ager,2007-08,Brooklyn Nets,1,5
29,Maurice Ager,2008-09,Brooklyn Nets,0,5
29,Maurice Ager,2010-11,Minnesota Timberwolves,0,2
31,Blake Ahearn,2007-08,Miami Heat,0,26
31,Blake Ahearn,2008-09,San Antonio Spurs,0,2
31,Blake Ahearn,2011-12,Utah Jazz,1,7
33,Alexis Ajinca,2010-11,Dallas Mavericks,0,5
33,Alexis Ajinca,2010-11,Toronto Raptors,0,19
33,Alexis Ajinca,2016-17,New Orleans Pelicans,0,4
35,Josh Akognon,2012-13,Dallas Mavericks,0,1
36,DeVaughn Akoon-Purcell,2018-19,Denver Nuggets,0,2
40,Furkan Aldemir,2014-15,Philadelphia 76ers,0,4
42,LaMarcus Aldridge,2006-07,Portland Trail Blazers,0,1
42,LaMarcus Aldridge,2007-08,Portland Trail Blazers,0,3
42,LaMarcus Aldridge,2008-09,Portland Trail Blazers,2,16
42,LaMarcus Aldridge,2009-10,Portland Trail Blazers,1,11
42,LaMarcus Aldridge,2010-11,Portland Trail Blazers,2,11
42,LaMarcus Aldridge,2011-12,Portland Trail Blazers,1,3
42,LaMarcus Aldridge,2012-13,Portland Trail Blazers,0,7
42,LaMarcus Aldridge,2013-14,Portland Trail Blazers,0,11
42,LaMarcus Aldridge,2014-15,Portland Trail Blazers,2,76
42,LaMarcus Aldridge,2015-16,San Antonio Spurs,0,11
42,LaMarcus Aldridge,2016-17,San Antonio Spurs,3,50
42,LaMarcus Aldridge,2017-18,San Antonio Spurs,0,68
42,LaMarcus Aldridge,2018-19,San Antonio Spurs,0,36
45,Cory Alexander,1998-99,Denver Nuggets,4,67
45,Cory Alexander,1999-00,Denver Nuggets,0,28
45,Cory Alexander,2000-01,Orlando Magic,1,11
45,Cory Alexander,2004-05,Charlotte Hornets,0,15
46,Courtney Alexander,2000-01,Dallas Mavericks,1,4
46,Courtney Alexander,2000-01,Washington Wizards,1,21
46,Courtney Alexander,2001-02,Washington Wizards,1,14
46,Courtney Alexander,2002-03,New Orleans Pelicans,5,37
48,Joe Alexander,2008-09,Milwaukee Bucks,0,34
48,Joe Alexander,2009-10,Chicago Bulls,0,1
49,Victor Alexander,2001-02,Detroit Pistons,0,1
52,Rawle Alkins,2018-19,Chicago Bulls,0,6
54,Grayson Allen,2018-19,Utah Jazz,0,51
55,Jarrett Allen,2017-18,Brooklyn Nets,0,9
55,Jarrett Allen,2018-19,Brooklyn Nets,0,26
57,Kadeem Allen,2017-18,Boston Celtics,0,4
57,Kadeem Allen,2018-19,New York Knicks,0,21
58,Lavoy Allen,2013-14,Philadelphia 76ers,0,10
60,Malik Allen,2001-02,Miami Heat,0,1
60,Malik Allen,2002-03,Miami Heat,0,1
60,Malik Allen,2004-05,Charlotte Hornets,1,0
60,Malik Allen,2005-06,Chicago Bulls,1,1
60,Malik Allen,2006-07,Chicago Bulls,0,1
60,Malik Allen,2007-08,Brooklyn Nets,2,1
60,Malik Allen,2008-09,Milwaukee Bucks,1,0
60,Malik Allen,2009-10,Denver Nuggets,1,3
62,Ray Allen,1998-99,Milwaukee Bucks,2,136
62,Ray Allen,1999-00,Milwaukee Bucks,3,263
62,Ray Allen,2000-01,Milwaukee Bucks,2,329
62,Ray Allen,2001-02,Milwaukee Bucks,0,308
62,Ray Allen,2002-03,Milwaukee Bucks,2,212
62,Ray Allen,2002-03,Oklahoma City Thunder,0,164
62,Ray Allen,2003-04,Oklahoma City Thunder,2,268
62,Ray Allen,2004-05,Oklahoma City Thunder,10,499
62,Ray Allen,2005-06,Oklahoma City Thunder,9,430
62,Ray Allen,2006-07,Oklahoma City Thunder,7,292
62,Ray Allen,2007-08,Boston Celtics,3,451
62,Ray Allen,2008-09,Boston Celtics,9,438
62,Ray Allen,2009-10,Boston Celtics,6,432
62,Ray Allen,2010-11,Boston Celtics,1,343
62,Ray Allen,2011-12,Boston Celtics,3,247
62,Ray Allen,2012-13,Miami Heat,2,320
62,Ray Allen,2013-14,Miami Heat,2,270
63,Tony Allen,2004-05,Boston Celtics,7,14
63,Tony Allen,2005-06,Boston Celtics,0,18
63,Tony Allen,2006-07,Boston Celtics,3,25
63,Tony Allen,2007-08,Boston Celtics,3,34
63,Tony Allen,2008-09,Boston Celtics,1,15
63,Tony Allen,2009-10,Boston Celtics,0,3
63,Tony Allen,2010-11,Memphis Grizzlies,2,12
63,Tony Allen,2011-12,Memphis Grizzlies,3,10
63,Tony Allen,2012-13,Memphis Grizzlies,5,12
63,Tony Allen,2013-14,Memphis Grizzlies,0,27
63,Tony Allen,2014-15,Memphis Grizzlies,0,23
63,Tony Allen,2015-16,Memphis Grizzlies,2,29
63,Tony Allen,2016-17,Memphis Grizzlies,1,26
63,Tony Allen,2017-18,New Orleans Pelicans,1,8
67,Morris Almond,2007-08,Utah Jazz,0,3
67,Morris Almond,2008-09,Utah Jazz,0,13
67,Morris Almond,2011-12,Washington Wizards,0,3
69,Rafer Alston,1999-00,Milwaukee Bucks,0,11
69,Rafer Alston,2000-01,Milwaukee Bucks,1,15
69,Rafer Alston,2001-02,Milwaukee Bucks,0,48
69,Rafer Alston,2002-03,Toronto Raptors,0,110
69,Rafer Alston,2003-04,Miami Heat,2,400
69,Rafer Alston,2004-05,Toronto Raptors,0,285
69,Rafer Alston,2005-06,Houston Rockets,1,236
69,Rafer Alston,2006-07,Houston Rockets,1,410
69,Rafer Alston,2007-08,Houston Rockets,3,330
69,Rafer Alston,2008-09,Houston Rockets,3,166
69,Rafer Alston,2008-09,Orlando Magic,3,153
69,Rafer Alston,2009-10,Miami Heat,2,60
69,Rafer Alston,2009-10,Brooklyn Nets,2,66
71,John Amaechi,1999-00,Orlando Magic,0,4
71,John Amaechi,2000-01,Orlando Magic,1,3
73,Al-Farouq Aminu,2010-11,Los Angeles Clippers,2,80
73,Al-Farouq Aminu,2011-12,New Orleans Pelicans,1,34
73,Al-Farouq Aminu,2012-13,New Orleans Pelicans,0,14
73,Al-Farouq Aminu,2013-14,New Orleans Pelicans,0,26
73,Al-Farouq Aminu,2014-15,Dallas Mavericks,3,94
73,Al-Farouq Aminu,2015-16,Portland Trail Blazers,2,290
73,Al-Farouq Aminu,2016-17,Portland Trail Blazers,0,166
73,Al-Farouq Aminu,2017-18,Portland Trail Blazers,1,230
73,Al-Farouq Aminu,2018-19,Portland Trail Blazers,0,216
76,Chris Andersen,2001-02,Denver Nuggets,0,1
76,Chris Andersen,2002-03,Denver Nuggets,0,1
76,Chris Andersen,2003-04,Denver Nuggets,1,0
76,Chris Andersen,2004-05,New Orleans Pelicans,0,2
76,Chris Andersen,2008-09,Denver Nuggets,0,5
76,Chris Andersen,2009-10,Denver Nuggets,0,1
76,Chris Andersen,2012-13,Miami Heat,0,1
76,Chris Andersen,2013-14,Miami Heat,0,7
76,Chris Andersen,2014-15,Miami Heat,0,5
76,Chris Andersen,2015-16,Miami Heat,0,2
76,Chris Andersen,2015-16,Memphis Grizzlies,0,5
76,Chris Andersen,2016-17,Cleveland Cavaliers,0,3
77,David Andersen,2009-10,Houston Rockets,3,72
77,David Andersen,2010-11,New Orleans Pelicans,0,11
77,David Andersen,2010-11,Toronto Raptors,0,10
78,Alan Anderson,2005-06,Charlotte Hornets,3,33
78,Alan Anderson,2006-07,Charlotte Hornets,0,12
78,Alan Anderson,2011-12,Toronto Raptors,2,44
78,Alan Anderson,2012-13,Toronto Raptors,5,178
78,Alan Anderson,2013-14,Brooklyn Nets,0,202
78,Alan Anderson,2014-15,Brooklyn Nets,1,153
78,Alan Anderson,2015-16,Washington Wizards,0,21
78,Alan Anderson,2016-17,Los Angeles Clippers,1,31
82,Derek Anderson,1998-99,Cleveland Cavaliers,2,51
82,Derek Anderson,1999-00,Los Angeles Clippers,4,99
82,Derek Anderson,2000-01,San Antonio Spurs,1,196
82,Derek Anderson,2001-02,Portland Trail Blazers,9,170
82,Derek Anderson,2002-03,Portland Trail Blazers,8,250
82,Derek Anderson,2003-04,Portland Trail Blazers,6,179
82,Derek Anderson,2004-05,Portland Trail Blazers,1,107
82,Derek Anderson,2005-06,Houston Rockets,1,53
82,Derek Anderson,2005-06,Miami Heat,1,61
82,Derek Anderson,2006-07,Charlotte Hornets,0,109
82,Derek Anderson,2007-08,Charlotte Hornets,0,30
86,James Anderson,2010-11,San Antonio Spurs,0,31
86,James Anderson,2011-12,San Antonio Spurs,2,48
86,James Anderson,2012-13,Houston Rockets,0,27
86,James Anderson,2012-13,San Antonio Spurs,0,7
86,James Anderson,2013-14,Philadelphia 76ers,0,206
86,James Anderson,2015-16,Sacramento Kings,1,58
88,Justin Anderson,2015-16,Dallas Mavericks,0,64
88,Justin Anderson,2016-17,Dallas Mavericks,1,78
88,Justin Anderson,2016-17,Philadelphia 76ers,0,41
88,Justin Anderson,2017-18,Philadelphia 76ers,0,51
88,Justin Anderson,2018-19,Atlanta Hawks,0,44
89,Kenny Anderson,1998-99,Boston Celtics,2,20
89,Kenny Anderson,1999-00,Boston Celtics,2,174
89,Kenny Anderson,2000-01,Boston Celtics,1,23
89,Kenny Anderson,2001-02,Boston Celtics,1,23
89,Kenny Anderson,2002-03,New Orleans Pelicans,0,2
89,Kenny Anderson,2003-04,Indiana Pacers,0,3
89,Kenny Anderson,2004-05,Atlanta Hawks,2,9
91,Kyle Anderson,2014-15,San Antonio Spurs,0,9
91,Kyle Anderson,2015-16,San Antonio Spurs,1,21
91,Kyle Anderson,2016-17,San Antonio Spurs,1,23
91,Kyle Anderson,2017-18,San Antonio Spurs,0,31
91,Kyle Anderson,2018-19,Memphis Grizzlies,1,20
94,Nick Anderson,1998-99,Orlando Magic,3,249
94,Nick Anderson,1999-00,Sacramento Kings,7,329
94,Nick Anderson,2000-01,Sacramento Kings,0,34
94,Nick Anderson,2001-02,Memphis Grizzlies,0,32
97,Ryan Anderson,2008-09,Brooklyn Nets,0,131
97,Ryan Anderson,2009-10,Orlando Magic,2,159
97,Ryan Anderson,2010-11,Orlando Magic,2,247
97,Ryan Anderson,2011-12,Orlando Magic,5,306
97,Ryan Anderson,2012-13,New Orleans Pelicans,9,353
97,Ryan Anderson,2013-14,New Orleans Pelicans,2,117
97,Ryan Anderson,2014-15,New Orleans Pelicans,0,240
97,Ryan Anderson,2015-16,New Orleans Pelicans,3,251
97,Ryan Anderson,2016-17,Houston Rockets,6,264
97,Ryan Anderson,2017-18,Houston Rockets,2,120
97,Ryan Anderson,2018-19,Miami Heat,0,1
97,Ryan Anderson,2018-19,Phoenix Suns,0,16
98,Shandon Anderson,1998-99,Utah Jazz,0,42
98,Shandon Anderson,1999-00,Houston Rockets,2,150
98,Shandon Anderson,2000-01,Houston Rockets,0,112
98,Shandon Anderson,2001-02,New York Knicks,0,71
98,Shandon Anderson,2002-03,New York Knicks,1,63
98,Shandon Anderson,2003-04,New York Knicks,0,77
98,Shandon Anderson,2004-05,Miami Heat,0,13
98,Shandon Anderson,2005-06,Miami Heat,0,12
105,Chris Anstey,1998-99,Dallas Mavericks,2,5
105,Chris Anstey,1999-00,Chicago Bulls,0,3
106,Giannis Antetokounmpo,2013-14,Milwaukee Bucks,2,74
106,Giannis Antetokounmpo,2014-15,Milwaukee Bucks,2,17
106,Giannis Antetokounmpo,2015-16,Milwaukee Bucks,1,50
106,Giannis Antetokounmpo,2016-17,Milwaukee Bucks,4,90
106,Giannis Antetokounmpo,2017-18,Milwaukee Bucks,2,66
106,Giannis Antetokounmpo,2018-19,Milwaukee Bucks,1,104
109,Carmelo Anthony,2003-04,Denver Nuggets,12,188
109,Carmelo Anthony,2004-05,Denver Nuggets,9,128
109,Carmelo Anthony,2005-06,Denver Nuggets,15,112
109,Carmelo Anthony,2006-07,Denver Nuggets,2,118
109,Carmelo Anthony,2007-08,Denver Nuggets,5,118
109,Carmelo Anthony,2008-09,Denver Nuggets,8,167
109,Carmelo Anthony,2009-10,Denver Nuggets,8,152
109,Carmelo Anthony,2010-11,Denver Nuggets,2,80
109,Carmelo Anthony,2010-11,New York Knicks,4,113
109,Carmelo Anthony,2011-12,New York Knicks,5,166
109,Carmelo Anthony,2012-13,New York Knicks,9,355
109,Carmelo Anthony,2013-14,New York Knicks,8,344
109,Carmelo Anthony,2014-15,New York Knicks,4,143
109,Carmelo Anthony,2015-16,New York Knicks,7,234
109,Carmelo Anthony,2016-17,New York Knicks,16,322
109,Carmelo Anthony,2017-18,Oklahoma City Thunder,6,385
109,Carmelo Anthony,2018-19,Houston Rockets,1,31
110,Greg Anthony,1998-99,Portland Trail Blazers,3,119
110,Greg Anthony,1999-00,Portland Trail Blazers,9,213
110,Greg Anthony,2000-01,Portland Trail Blazers,3,130
110,Greg Anthony,2001-02,Chicago Bulls,3,75
110,Greg Anthony,2001-02,Milwaukee Bucks,0,43
112,Pero Antic,2013-14,Atlanta Hawks,2,148
112,Pero Antic,2014-15,Atlanta Hawks,1,147
113,OG Anunoby,2017-18,Toronto Raptors,0,137
113,OG Anunoby,2018-19,Toronto Raptors,1,115
114,Keith Appling,2015-16,Orlando Magic,0,1
115,Rafael Araujo,2004-05,Toronto Raptors,0,2
115,Rafael Araujo,2005-06,Toronto Raptors,0,1
119,Ryan Arcidiacono,2017-18,Chicago Bulls,0,20
119,Ryan Arcidiacono,2018-19,Chicago Bulls,0,128
121,Gilbert Arenas,2001-02,Golden State Warriors,2,90
121,Gilbert Arenas,2002-03,Golden State Warriors,8,238
121,Gilbert Arenas,2003-04,Washington Wizards,2,209
121,Gilbert Arenas,2004-05,Washington Wizards,7,413
121,Gilbert Arenas,2005-06,Washington Wizards,10,401
121,Gilbert Arenas,2006-07,Washington Wizards,4,373
121,Gilbert Arenas,2007-08,Washington Wizards,0,62
121,Gilbert Arenas,2008-09,Washington Wizards,0,6
121,Gilbert Arenas,2009-10,Washington Wizards,3,117
121,Gilbert Arenas,2010-11,Orlando Magic,3,128
121,Gilbert Arenas,2010-11,Washington Wizards,0,105
121,Gilbert Arenas,2011-12,Memphis Grizzlies,0,32
122,Trevor Ariza,2004-05,New York Knicks,2,5
122,Trevor Ariza,2005-06,New York Knicks,0,1
122,Trevor Ariza,2005-06,Orlando Magic,0,1
122,Trevor Ariza,2006-07,Orlando Magic,0,2
122,Trevor Ariza,2007-08,Los Angeles Lakers,1,16
122,Trevor Ariza,2007-08,Orlando Magic,0,2
122,Trevor Ariza,2008-09,Los Angeles Lakers,0,162
122,Trevor Ariza,2009-10,Houston Rockets,1,302
122,Trevor Ariza,2010-11,New Orleans Pelicans,1,184
122,Trevor Ariza,2011-12,New Orleans Pelicans,1,53
122,Trevor Ariza,2012-13,Washington Wizards,2,124
122,Trevor Ariza,2013-14,Washington Wizards,2,295
122,Trevor Ariza,2014-15,Houston Rockets,4,420
122,Trevor Ariza,2015-16,Houston Rockets,4,330
122,Trevor Ariza,2016-17,Houston Rockets,0,394
122,Trevor Ariza,2017-18,Houston Rockets,1,333
122,Trevor Ariza,2018-19,Phoenix Suns,0,90
122,Trevor Ariza,2018-19,Washington Wizards,0,164
125,B.J. Armstrong,1998-99,Orlando Magic,0,6
125,B.J. Armstrong,1998-99,Charlotte Hornets,0,6
125,B.J. Armstrong,1999-00,Chicago Bulls,1,25
127,Brandon Armstrong,2001-02,Brooklyn Nets,0,11
127,Brandon Armstrong,2002-03,Brooklyn Nets,0,4
127,Brandon Armstrong,2003-04,Brooklyn Nets,1,33
128,Darrell Armstrong,1998-99,Orlando Magic,3,162
128,Darrell Armstrong,1999-00,Orlando Magic,4,326
128,Darrell Armstrong,2000-01,Orlando Magic,3,317
128,Darrell Armstrong,2001-02,Orlando Magic,4,327
128,Darrell Armstrong,2002-03,Orlando Magic,9,183
128,Darrell Armstrong,2003-04,New Orleans Pelicans,5,383
128,Darrell Armstrong,2004-05,New Orleans Pelicans,4,60
128,Darrell Armstrong,2004-05,Dallas Mavericks,1,38
128,Darrell Armstrong,2005-06,Dallas Mavericks,2,43
128,Darrell Armstrong,2006-07,Indiana Pacers,2,155
128,Darrell Armstrong,2007-08,Brooklyn Nets,1,45
129,Hilton Armstrong,2010-11,Atlanta Hawks,0,1
129,Hilton Armstrong,2013-14,Golden State Warriors,0,1
135,Carlos Arroyo,2001-02,Denver Nuggets,2,2
135,Carlos Arroyo,2002-03,Utah Jazz,0,5
135,Carlos Arroyo,2003-04,Utah Jazz,8,94
135,Carlos Arroyo,2004-05,Utah Jazz,0,15
135,Carlos Arroyo,2004-05,Detroit Pistons,1,7
135,Carlos Arroyo,2005-06,Orlando Magic,2,11
135,Carlos Arroyo,2005-06,Detroit Pistons,1,2
135,Carlos Arroyo,2006-07,Orlando Magic,3,32
135,Carlos Arroyo,2007-08,Orlando Magic,4,65
135,Carlos Arroyo,2009-10,Miami Heat,7,16
135,Carlos Arroyo,2010-11,Boston Celtics,1,3
135,Carlos Arroyo,2010-11,Miami Heat,1,32
136,Darrell Arthur,2008-09,Memphis Grizzlies,1,2
136,Darrell Arthur,2010-11,Memphis Grizzlies,0,5
136,Darrell Arthur,2012-13,Memphis Grizzlies,1,9
136,Darrell Arthur,2013-14,Denver Nuggets,1,42
136,Darrell Arthur,2014-15,Denver Nuggets,0,82
136,Darrell Arthur,2015-16,Denver Nuggets,1,78
136,Darrell Arthur,2016-17,Denver Nuggets,1,87
136,Darrell Arthur,2017-18,Denver Nuggets,0,17
138,Jamel Artis,2017-18,Orlando Magic,0,19
141,Keith Askins,1998-99,Miami Heat,1,16
144,Chucky Atkins,1999-00,Orlando Magic,1,123
144,Chucky Atkins,2000-01,Detroit Pistons,3,179
144,Chucky Atkins,2001-02,Detroit Pistons,1,173
144,Chucky Atkins,2002-03,Detroit Pistons,1,139
144,Chucky Atkins,2003-04,Boston Celtics,0,86
144,Chucky Atkins,2003-04,Detroit Pistons,1,73
144,Chucky Atkins,2004-05,Los Angeles Lakers,4,298
144,Chucky Atkins,2005-06,Memphis Grizzlies,3,157
144,Chucky Atkins,2005-06,Washington Wizards,0,51
144,Chucky Atkins,2006-07,Memphis Grizzlies,7,199
144,Chucky Atkins,2007-08,Denver Nuggets,0,58
144,Chucky Atkins,2008-09,Denver Nuggets,0,14
144,Chucky Atkins,2008-09,Oklahoma City Thunder,1,34
144,Chucky Atkins,2009-10,Detroit Pistons,3,47
147,Stacey Augmon,1998-99,Portland Trail Blazers,0,2
147,Stacey Augmon,1999-00,Portland Trail Blazers,0,1
147,Stacey Augmon,2000-01,Portland Trail Blazers,1,2
147,Stacey Augmon,2001-02,Charlotte Hornets,0,1
147,Stacey Augmon,2002-03,New Orleans Pelicans,0,3
147,Stacey Augmon,2003-04,New Orleans Pelicans,0,3
148,D.J. Augustin,2008-09,Charlotte Hornets,0,139
148,D.J. Augustin,2009-10,Charlotte Hornets,0,108
148,D.J. Augustin,2010-11,Charlotte Hornets,3,217
148,D.J. Augustin,2011-12,Charlotte Hornets,0,131
148,D.J. Augustin,2012-13,Indiana Pacers,1,133
148,D.J. Augustin,2013-14,Chicago Bulls,2,249
148,D.J. Augustin,2013-14,Toronto Raptors,0,5
148,D.J. Augustin,2014-15,Oklahoma City Thunder,0,67
148,D.J. Augustin,2014-15,Detroit Pistons,4,77
148,D.J. Augustin,2015-16,Denver Nuggets,0,69
148,D.J. Augustin,2015-16,Oklahoma City Thunder,0,47
148,D.J. Augustin,2016-17,Orlando Magic,3,196
148,D.J. Augustin,2017-18,Orlando Magic,0,142
148,D.J. Augustin,2018-19,Orlando Magic,1,195
149,James Augustine,2007-08,Orlando Magic,1,0
150,Ike Austin,1998-99,Orlando Magic,0,5
150,Ike Austin,1999-00,Washington Wizards,0,3
150,Ike Austin,2000-01,Memphis Grizzlies,0,16
150,Ike Austin,2001-02,Memphis Grizzlies,0,1
155,William Avery,1999-00,Minnesota Timberwolves,0,43
155,William Avery,2000-01,Minnesota Timberwolves,0,49
155,William Avery,2001-02,Minnesota Timberwolves,0,22
158,Jeff Ayres,2012-13,Indiana Pacers,0,3
159,Deandre Ayton,2018-19,Phoenix Suns,0,2
160,Kelenna Azubuike,2006-07,Golden State Warriors,0,61
160,Kelenna Azubuike,2007-08,Golden State Warriors,2,140
160,Kelenna Azubuike,2008-09,Golden State Warriors,6,128
160,Kelenna Azubuike,2009-10,Golden State Warriors,0,15
160,Kelenna Azubuike,2011-12,Dallas Mavericks,0,4
161,Chris Babb,2013-14,Boston Celtics,0,17
162,Luke Babbitt,2010-11,Portland Trail Blazers,0,7
162,Luke Babbitt,2011-12,Portland Trail Blazers,0,64
162,Luke Babbitt,2012-13,Portland Trail Blazers,1,117
162,Luke Babbitt,2013-14,New Orleans Pelicans,0,60
162,Luke Babbitt,2014-15,New Orleans Pelicans,0,80
162,Luke Babbitt,2015-16,New Orleans Pelicans,0,84
162,Luke Babbitt,2016-17,Miami Heat,0,142
162,Luke Babbitt,2017-18,Atlanta Hawks,0,61
162,Luke Babbitt,2017-18,Miami Heat,0,24
165,Dwayne Bacon,2017-18,Charlotte Hornets,0,25
165,Dwayne Bacon,2018-19,Charlotte Hornets,0,52
167,Dalibor Bagaric,2000-01,Chicago Bulls,0,1
169,Marvin Bagley III,2018-19,Sacramento Kings,1,57
174,Toby Bailey,1998-99,Phoenix Suns,1,4
174,Toby Bailey,1999-00,Phoenix Suns,1,4
175,Cameron Bairstow,2015-16,Chicago Bulls,0,3
179,Ron Baker,2016-17,New York Knicks,3,61
179,Ron Baker,2017-18,New York Knicks,1,22
179,Ron Baker,2018-19,New York Knicks,0,6
179,Ron Baker,2018-19,Washington Wizards,0,2
180,Vin Baker,1998-99,Oklahoma City Thunder,0,1
180,Vin Baker,1999-00,Oklahoma City Thunder,4,4
180,Vin Baker,2000-01,Oklahoma City Thunder,0,10
180,Vin Baker,2001-02,Oklahoma City Thunder,0,3
180,Vin Baker,2002-03,Boston Celtics,0,1
181,Wade Baldwin IV,2016-17,Memphis Grizzlies,0,15
181,Wade Baldwin IV,2017-18,Portland Trail Blazers,0,5
181,Wade Baldwin IV,2018-19,Portland Trail Blazers,0,7
182,Renaldo Balkman,2006-07,New York Knicks,0,15
182,Renaldo Balkman,2007-08,New York Knicks,0,8
182,Renaldo Balkman,2008-09,Denver Nuggets,0,6
182,Renaldo Balkman,2009-10,Denver Nuggets,0,6
182,Renaldo Balkman,2011-12,New York Knicks,0,6
184,Lonzo Ball,2017-18,Los Angeles Lakers,3,151
184,Lonzo Ball,2018-19,Los Angeles Lakers,0,120
187,Mo Bamba,2018-19,Orlando Magic,1,40
189,Marcus Banks,2003-04,Boston Celtics,1,59
189,Marcus Banks,2004-05,Boston Celtics,2,50
189,Marcus Banks,2005-06,Boston Celtics,1,15
189,Marcus Banks,2005-06,Minnesota Timberwolves,6,32
189,Marcus Banks,2006-07,Phoenix Suns,1,16
189,Marcus Banks,2007-08,Miami Heat,0,33
189,Marcus Banks,2007-08,Phoenix Suns,0,49
189,Marcus Banks,2008-09,Miami Heat,0,8
189,Marcus Banks,2008-09,Toronto Raptors,0,3
189,Marcus Banks,2009-10,Toronto Raptors,0,17
193,Leandro Barbosa,2003-04,Phoenix Suns,1,168
193,Leandro Barbosa,2004-05,Phoenix Suns,3,106
193,Leandro Barbosa,2005-06,Phoenix Suns,3,173
193,Leandro Barbosa,2006-07,Phoenix Suns,9,338
193,Leandro Barbosa,2007-08,Phoenix Suns,9,325
193,Leandro Barbosa,2008-09,Phoenix Suns,4,165
193,Leandro Barbosa,2009-10,Phoenix Suns,4,108
193,Leandro Barbosa,2010-11,Toronto Raptors,8,146
193,Leandro Barbosa,2011-12,Indiana Pacers,1,39
193,Leandro Barbosa,2011-12,Toronto Raptors,5,79
193,Leandro Barbosa,2012-13,Boston Celtics,1,30
193,Leandro Barbosa,2013-14,Phoenix Suns,2,19
193,Leandro Barbosa,2014-15,Golden State Warriors,2,77
193,Leandro Barbosa,2015-16,Golden State Warriors,0,94
193,Leandro Barbosa,2016-17,Phoenix Suns,6,73
195,J.J. Barea,2006-07,Dallas Mavericks,0,16
195,J.J. Barea,2007-08,Dallas Mavericks,1,36
195,J.J. Barea,2008-09,Dallas Mavericks,2,134
195,J.J. Barea,2009-10,Dallas Mavericks,4,120
195,J.J. Barea,2010-11,Dallas Mavericks,0,176
195,J.J. Barea,2011-12,Minnesota Timberwolves,1,112
195,J.J. Barea,2012-13,Minnesota Timberwolves,3,201
195,J.J. Barea,2013-14,Minnesota Timberwolves,1,197
195,J.J. Barea,2014-15,Dallas Mavericks,0,138
195,J.J. Barea,2015-16,Dallas Mavericks,1,215
195,J.J. Barea,2016-17,Dallas Mavericks,2,99
